"","Infantry Tank Mk I Matilda , URL: /wiki/Matilda_I_(tank)
","Infantry Tank Mk II Matilda , URL: /wiki/Matilda_II
","Panzer I , URL: /wiki/Panzer_I
","Panzer II , URL: /wiki/Panzer_II
","Panzer III , URL: /wiki/Panzer_III
","Panzer IV , URL: /wiki/Panzer_IV
","Panzer 35(t) , URL: /wiki/Panzer_35(t)
","Panzer 38(t) , URL: /wiki/Panzer_38(t)
","7TP , URL: /wiki/7TP
","T-26 , URL: /wiki/T-26
","BT-7M , URL: /wiki/BT-7
","T-34 , URL: /wiki/T-34
","KV-1 , URL: /wiki/KV-1_(tank)
","Type 97 Chi-Ha , URL: /wiki/Type_97_Chi-Ha
"
"Country","United Kingdom , URL: /wiki/United_Kingdom
","United Kingdom","Nazi Germany , URL: /wiki/Nazi_Germany
","Nazi Germany","Nazi Germany","Nazi Germany","Czechoslovakia , URL: /wiki/Czechoslovakia
","Sweden , URL: /wiki/Sweden
","Poland , URL: /wiki/Poland
","Soviet Union , URL: /wiki/Soviet_Union
","Soviet Union","Soviet Union","Soviet Union","Japan"
"Entered service","1938","1939","1934","1936","1939","1939","1937","1939","1935","1931","1939","1940","1940","1937"
"Crew","2","4","2","3","5","5","4","4","3","3","3","4","5","4"
"Dimensions","Dimensions","Dimensions","Dimensions","Dimensions","Dimensions","Dimensions","Dimensions","Dimensions","Dimensions","Dimensions","Dimensions","Dimensions","Dimensions",""
"Length","4.9 m","6.0 m","4.40 m","4.80 m","5.52 m","5.92 m","4.9 m","4.61 m","4.56 m","4.88 m","5.66 m","5.92 m","6.75 m","5.50 m"
"Width","2.3 m","2.6 m","2.00 m","2.20 m","2.90 m","2.88 m","2.1 m","2.12 m","2.43 m","2.41 m","2.29 m","3.00 m","3.32 m","2.33 m"
"Height","2.0 m","2.5 m","1.70 m","2.00 m","2.50 m","2.68 m","2.35 m","2.40 m","2.27 m","2.08 m","2.42 m","2.45 m","2.71 m","2.21m"
"Turret Ring","?","1378mm","927mm","?","1560mm","1650mm","1267mm","?","?","?","?","1420mm","1580mm","1350mm"
"Weight","11 tonnes","27 tonnes","6.0 tonnes","9.5 tonnes","19.5 tonnes","21.0 tonnes","10.5 tonnes","9.5 tonnes","9.9 tonnes","10.3 tonnes","14.7 tonnes","26.3 tonnes","45 tonnes","14.3 to 15.2 tonnes"
"Armour","Armour","Armour","Armour","Armour","Armour","Armour","Armour","Armour","Armour","Armour","Armour","Armour","Armour",""
"Turret front side top","65 mm 65 mm 10 mm","75 mm 75 mm 20 mm","13 mm 13 mm 8 mm","15 mm 15 mm 10 mm","30 mm 30 mm 12 mm","30 mm 20 mm 12 mm","25 mm 15 mm 8 mm","25 mm 15 mm 10 mm","15 mm 15 mm 10 mm","15 mm 15 mm 10 mm","15 mm 15 mm 15 mm","45 mm 45 mm 16 mm","70 mm 70 mm ? mm","25 mm 25 mm 10 mm"
"Hull front side top","60 mm 60 mm 30 mm","78 mm 55 mm 20 mm","13 mm 13 mm 6 mm","15 mm 15 mm 5 mm","30 mm[a] 30 mm 16 mm","30+30 mm 20+20 mm 12 mm","25 mm 16 mm 8 mm","30 mm 15 mm 8 mm","17 mm 13 mm 10 mm","15 mm 15 mm 6 mm","30 mm 13 mm 10 mm","45 mm 45 mm 20 mm","75 mm 75 mm 70 mm","25 mm 25 mm 10 mm"
"Armament","Armament","Armament","Armament","Armament","Armament","Armament","Armament","Armament","Armament","Armament","Armament","Armament","Armament",""
