"Brand","Model name","Sensor size , URL: /wiki/Image_sensor_format
","megapixels , URL: /wiki/Megapixel
","Lens mount , URL: /wiki/Lens_mount
","Viewfinder coverage","Metering , URL: /wiki/Metering_mode
","Focus , URL: /wiki/Autofocus
","ISO , URL: /wiki/Film_speed
","ISO , URL: /wiki/Film_speed
","DxO score","DxO ISO[1]","Cont. shtg","LCD size","Live view , URL: /wiki/Live_view
","Movie mode","Memory card","Video","Dimensions (mm)","Weight (g)[2]","Announced (date)","Reference"
"Panasonic , URL: /wiki/Panasonic
","GH1 , URL: /wiki/Panasonic_Lumix_DMC-GH1
","Four Thirds , URL: /wiki/Four_Thirds_system
","12.1","MFT , URL: /wiki/Four_Thirds_system
","100","144","23","100","3200","64","772","3","3","yes","yes","SD","1080p25","124x90x45","385 (without battery)","Mar 2009","[1] , URL: https://www.optyczne.pl/895-Panasonic_Lumix_DMC-GH1-specyfikacja_aparatu.html
"
"Canon , URL: /wiki/Canon_Inc.
","5D Mark IV , URL: /wiki/Canon_EOS_5D_Mark_IV
","Full frame , URL: /wiki/Full-frame_digital_SLR
","30.1","EF","100","252","61","50","102400","91","2995","7","3.2","yes","yes","CF , URL: /wiki/CompactFlash
SD , URL: /wiki/SD_Card
","","150.7×116.4×75.9","890","Aug 2016","[1] , URL: http://www.canon.co.uk/cameras/eos-5d-mark-iv/
"
"Canon , URL: /wiki/Canon_Inc.
","1D X Mark II , URL: /wiki/Canon_EOS-1D_X_Mark_II
","Full frame , URL: /wiki/Full-frame_digital_SLR
","20.2","EF , URL: /wiki/Canon_EF_lens_mount
","100","216","61","50","409600","88","3207","14","3.2","yes","yes","CF , URL: /wiki/CompactFlash
CFast , URL: /wiki/CompactFlash#CFast
","","158x168x83","1530","Feb 2016","[1] , URL: http://www.dxomark.com/index.php/en/Camera-Sensor/All-tested-sensors/Canon/EOS-1Dx-Mark-II
[2] , URL: https://downloads.canon.com/nw/camera/products/eos/1d-x-mark-ii/specifications/canon-eos-1dx-mkii-specification-chart.pdf
"
"Canon , URL: /wiki/Canon_Inc.
","1D X , URL: /wiki/Canon_EOS-1D_X
","Full frame , URL: /wiki/Full-frame_digital_SLR
","18.1","EF , URL: /wiki/Canon_EF_lens_mount
","100","252","61","50","204800","82","2786","14","3.2","yes","yes","CF , URL: /wiki/CompactFlash
","","158x164x83","1530","Oct 2011","[3] , URL: http://www.dxomark.com/index.php/en/Camera-Sensor/All-tested-sensors/Canon/EOS-1Dx
[4] , URL: http://usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_1d_x#Specifications
"
"Canon , URL: /wiki/Canon_Inc.
","1Ds Mark III , URL: /wiki/Canon_EOS-1Ds_Mark_III
","Full frame , URL: /wiki/Full-frame_digital_SLR
","21.1","EF , URL: /wiki/Canon_EF_lens_mount
","100","63","45","50","3200","80","1663","5","3","yes","no","CF , URL: /wiki/CompactFlash
SD , URL: /wiki/Secure_Digital
","","150x160x80","1205","Aug 2007","[5] , URL: http://www.dxomark.com/index.php/en/Camera-Sensor/All-tested-sensors/Canon/EOS-1Ds-Mark-III
[6] , URL: http://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_1ds_mark_iii#Specifications
"
"Canon , URL: /wiki/Canon_Inc.
","1D Mark IV , URL: /wiki/Canon_EOS-1D_Mark_IV
","APS-H , URL: /wiki/APS-H
","16.1","EF , URL: /wiki/Canon_EF_lens_mount
","100","63","45","50","102400","74","1320","10","3","yes","yes","CF , URL: /wiki/CompactFlash
SD , URL: /wiki/Secure_Digital
","","156x157x80","1180","Oct 2009","[7] , URL: http://www.dxomark.com/index.php/en/Camera-Sensor/All-tested-sensors/Canon/EOS-1D-Mark-IV
[8] , URL: http://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_1d_mark_iv#Specifications
"
"Canon , URL: /wiki/Canon_Inc.
","5D Mark III , URL: /wiki/Canon_EOS_5D_Mark_III
","Full frame , URL: /wiki/Full-frame_digital_SLR
","22.3","EF , URL: /wiki/Canon_EF_lens_mount
","100","63","61","50","102400","81","2293","6","3.2","yes","yes","CF , URL: /wiki/CompactFlash
SD , URL: /wiki/Secure_Digital
","","152x117x77","950 (860 without battery)","Mar 2012","[9] , URL: http://www.dxomark.com/index.php/Publications/DxOMark-Reviews/Canon-5D-Mark-III-Review/Sensor-performance
[10] , URL: http://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_5d_mark_iii#Specifications
"
"Canon , URL: /wiki/Canon_Inc.
","5D Mark II , URL: /wiki/Canon_EOS_5D_Mark_II
","Full frame , URL: /wiki/Full-frame_digital_SLR
","21.1","EF , URL: /wiki/Canon_EF_lens_mount
","98","35","9","50","25600","79","1815","3.9","3","yes","yes","CF , URL: /wiki/CompactFlash
","","152x114x75","810","Sep 2008","[11] , URL: http://www.dxomark.com/index.php/en/Camera-Sensor/All-tested-sensors/Canon/EOS-5D-Mark-II
[12] , URL: http://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_5d_mark_ii#Specifications
"
"Canon , URL: /wiki/Canon_Inc.
","6D , URL: /wiki/Canon_EOS_6D
","Full frame , URL: /wiki/Full-frame_digital_SLR
","20.2","EF , URL: /wiki/Canon_EF_lens_mount
","97","63","11","50","102400","82","2340","4.5","3","yes","yes","SD , URL: /wiki/Secure_Digital
","","145x111x71","755 (680 without battery)","Sep 2012","[13] , URL: http://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_6d#Specifications
"
"Canon , URL: /wiki/Canon_Inc.
","7D Mark II , URL: /wiki/Canon_EOS_7D_Mark_II
","APS-C , URL: /wiki/APS-C
","20.2","EF , URL: /wiki/Canon_EF_lens_mount
EF-S , URL: /wiki/Canon_EF-S_lens_mount
","100","252","65","100","51200","70","1082","10","3","yes","yes","CF , URL: /wiki/CompactFlash
SD , URL: /wiki/Secure_Digital
","","149x112x78","910 (820 without battery)","Sep 2014","[14] , URL: http://www.dxomark.com/Cameras/Canon/EOS-7D-Mark-II
[15] , URL: http://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_7d_mark_ii#Specifications
"
"Canon , URL: /wiki/Canon_Inc.
","7D , URL: /wiki/Canon_EOS_7D
","APS-C , URL: /wiki/APS-C
","18.0","EF , URL: /wiki/Canon_EF_lens_mount
EF-S , URL: /wiki/Canon_EF-S_lens_mount
","100","63","19","100","12800","66","854","8","3","yes","yes","CF , URL: /wiki/CompactFlash
","","148x111x74","820","Sep 2009","[16] , URL: http://www.dxomark.com/index.php/en/Camera-Sensor/All-tested-sensors/Canon/EOS-7D
[17] , URL: http://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_7d#Specifications
"
