"","Creator","Development started","First public release","Latest stable version","Stable release date","USD , URL: /wiki/United_States_dollar
","License","Notes"
"ADMB , URL: /wiki/ADMB
","David Fournier, ADMB Project","1989","1990","12.0","21 December 2017","Free","BSD 3-clause (aka new) License , URL: /wiki/BSD_Licenses#3-clause
","Automatic differentiation makes it well suited to complex minimization problems"
"Analytica , URL: /wiki/Analytica_(software)
","Lumina Decision Systems","1982 (Demos)","","4.6","May 2015","Free (Analytica Free 101), $995 (Professional), $2795 (Enterprise)","Proprietary","declarative , URL: /wiki/Declarative_language
visual programming language , URL: /wiki/Visual_programming_language
influence diagrams , URL: /wiki/Influence_diagrams
"
"Ch , URL: /wiki/Ch_(computer_programming)
","SoftIntegration","","1 October 2001","7.5.1","2 December 2015","$399 (commercial) / $199 (academic) / Free (student)","Proprietary","C/C++ based numerical computing and graphical plotting[1]"
"DADiSP , URL: /wiki/DADiSP
","DSP Development","1984","1987","6.7 B02","17 January 2017","$1995 (commercial) / $129 (academic) / Free (student)","Proprietary","spreadsheet , URL: /wiki/Spreadsheet
"
"Dyalog APL , URL: /wiki/Dyalog_APL
","Dyalog Ltd.","1981","1983","18.0","10 June 2020","Not free (commercial) / Free (non-commercial)","Proprietary","APL , URL: /wiki/APL_(programming_language)
"
"Euler Math Toolbox , URL: /wiki/Euler_(software)
","René Grothmann","1987","1988","2022-02-10","10 February 2022","Free","GPL , URL: /wiki/GNU_General_Public_License
","Maxima , URL: /wiki/Maxima_(software)
"
"Fityk , URL: /wiki/Fityk
","Marcin Wojdyr","","2002","1.3.1","19 December 2016","$115 (1.x binaries) / Free (source code and 0.x binaries)","GPL , URL: /wiki/GNU_General_Public_License
","interactive graphics, scriptable, specialized in curve fitting and peak fitting, 2D only"
"FlexPro , URL: /wiki/FlexPro
","Weisang GmbH","n/a","1991","2019 (12.0.x)","2018","Not free (commercial) / Free (academic)","Proprietary , URL: /wiki/Proprietary_software
","Dynamic, interactive 2D/3D diagrams, programmable, VBA, high performances, multicore compatible, large data sets."
"FreeMat , URL: /wiki/FreeMat
","Samit Basu","","2004","4.2","30 June 2013","Free","GPL , URL: /wiki/GNU_General_Public_License
","C , URL: /wiki/C_(programming_language)
C++ , URL: /wiki/C%2B%2B
Fortran , URL: /wiki/Fortran
"
"GAUSS , URL: /wiki/GAUSS_(software)
","Aptech Systems","","1984","21","8 December 2020","Not free","Proprietary",""
"GNU Data Language , URL: /wiki/GNU_Data_Language
","Marc Schellens","","2004","0.9.7","21 January 2017","Free","GPL , URL: /wiki/GNU_General_Public_License
","Aimed as a drop-in replacement for IDL/PV-WAVE"
