"Format","Full name","Owner","based on","File extension , URL: /wiki/File_extension
","MIME , URL: /wiki/MIME
","Application","Patented"
"Abc","Advanced Bitonal Compression","LEAD Technologies","",".abc","","Bitonal document and check images.[1]","Yes"
"ADRG","ARC Digitized Raster Graphics","","",".adrg","","",""
"AdobeResource","","Adobe Systems , URL: /wiki/Adobe_Systems
","TIFF?","","","",""
"ADRI","ARC Digitized Raster Images","","",".adri","","",""
"AF Design","Affinity Designer","Serif Europe , URL: /wiki/Serif_Europe
","",".afdesign","","Affinity Designer , URL: /wiki/Affinity_Designer
Affinity Photo , URL: /wiki/Affinity_Photo
",""
"AF Photo","Affinity Photo","Serif Europe , URL: /wiki/Serif_Europe
","",".afphoto","","Affinity Photo , URL: /wiki/Affinity_Photo
Affinity Designer , URL: /wiki/Affinity_Designer
",""
"AI , URL: /wiki/Adobe_Illustrator_Artwork
","Adobe Illustrator Document","Adobe Systems , URL: /wiki/Adobe_Systems
","",".ai","application/illustrator, application/postscript","Adobe Illustrator files are editable using programs that support the format, such as Adobe Illustrator, Inkscape, CorelDRAW, etc.","Yes"
"Alias Pix image","","","",".pix, .matte, .mask, .alpha, .als","","GIMP , URL: /wiki/GIMP
",""
"AMI","","","",".ami","","Supported by Amica Paint",""
"ANI , URL: /wiki/ANI_(file_format)
","ANI file format","Microsoft , URL: /wiki/Microsoft
","RIFF , URL: /wiki/Resource_Interchange_File_Format
",".ani","","Microsoft Windows , URL: /wiki/Microsoft_Windows
",""
"ANIM , URL: /wiki/ANIM
","","Electronic Arts , URL: /wiki/Electronic_Arts
Commodore Amiga , URL: /wiki/Commodore_Amiga
","IFF , URL: /wiki/Interchange_File_Format
",".iff, .anim","video/x-anim","",""
"APNG , URL: /wiki/APNG
","Animated Portable Network Graphics","Mozilla , URL: /wiki/Mozilla
","PNG , URL: /wiki/Portable_Network_Graphics
",".png","image/png","Gecko 1.9 , URL: /wiki/Gecko_(layout_engine)
Opera , URL: /wiki/Opera_(web_browser)
","No"
"Apple Icon Image , URL: /wiki/Apple_Icon_Image
","","Apple Inc. , URL: /wiki/Apple_Inc.
","",".icns","","macOS , URL: /wiki/MacOS
",""
"APX","","","",".apx","","Supported by Ebuyer Photo Paint",""
"ART , URL: /wiki/ART_image_file_format
","","AOL , URL: /wiki/AOL
","",".art","","",""
"ART","PFS: 1st Publisher clip art","","",".art","","",""
"ARTB","Artboard file format","Mapdiva, LLC","",".artb","","Vector image format; Artboard drawing files are editable using programs that support the format, such as Artboard and Ortelius",""
"ASCII art , URL: /wiki/ASCII_art
","","","",".txt, .ansi, .text","text/vnd.ascii-art","GIMP , URL: /wiki/GIMP
",""
"Authorware map","","Adobe Systems , URL: /wiki/Adobe_Systems
","",".aam","application/x-authorware-map","",""
"Authorware seg","","Adobe Systems , URL: /wiki/Adobe_Systems
","",".aas","application/x-authorware-seg","",""
"Authorware bin","","Adobe Systems , URL: /wiki/Adobe_Systems
","",".aab, .x32, .u32, .vox","application/x-authorware-bin","",""
"AutoCAD DXF , URL: /wiki/AutoCAD_DXF
","Drawing Interchange Format","Autodesk , URL: /wiki/Autodesk
","",".dxf","image/vnd.dxf","",""
"AWD","","","",".awd","image/awd","Used by PhotoPhilia",""
"ARW , URL: /wiki/Raw_image_format
","Sony Alpha RAW","Sony , URL: /wiki/Sony
","TIFF",".arw","","",""
"BAY , URL: /wiki/Raw_image_format
","Casio RAW","Casio , URL: /wiki/Casio
","",".bay","","",""
