"Name","NTFS , URL: /wiki/NTFS
","ext3 , URL: /wiki/Ext3
","ext4 , URL: /wiki/Ext4
","ReiserFS , URL: /wiki/ReiserFS
","Reiser4 , URL: /wiki/Reiser4
","JFS , URL: /wiki/JFS_(file_system)
","XFS , URL: /wiki/XFS
","UFS , URL: /wiki/Unix_File_System
","UDF , URL: /wiki/Universal_Disk_Format
","HFS+ , URL: /wiki/HFS%2B
","BeFS , URL: /wiki/Be_File_System
","AFS , URL: /wiki/AtheOS_File_System
","SFS , URL: /wiki/Smart_File_System
","UBIFS , URL: /wiki/UBIFS
","JFFS2 , URL: /wiki/JFFS2
"
"Acronis OS Selector , URL: /wiki/Acronis_Disk_Director_Suite
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"AiR-BOOT","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"AKernelLoader","?","Yes","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Barebox , URL: /wiki/Barebox
","?","Yes","Yes","?","?","?","?","?","?","?","?","?","?","Yes","Yes"
"BOOTBOOT","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"BootIt Bare Metal","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"BootKey","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"bootload","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"BootManager , URL: /wiki/BootManager
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"BootX (Apple) , URL: /wiki/BootX_(Apple)
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"BootX (Linux) , URL: /wiki/BootX_(Linux)
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Clover","Yes","?","?","?","?","?","?","?","?","Yes","?","?","?","?","?"
"Darwin Boot Loader","Yes","?","?","?","?","?","?","?","?","Yes","?","?","?","?","?"
"Das U-Boot , URL: /wiki/Das_U-Boot
","?","Yes","Yes","Yes","?","?","?","Yes","?","?","?","?","?","Yes","Yes"
"extipl","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"ReactOS , URL: /wiki/ReactOS
","Yes","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"GAG","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"GNU GRUB 2 , URL: /wiki/GNU_GRUB
","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?"
"GRUB Legacy , URL: /wiki/GNU_GRUB
","No","Yes","patch[a]","Yes[b]","No","Yes[b]","Yes[b]","Yes[b]","No","No","No","No","No","No","No"
"Grub2Win , URL: /wiki/GNU_GRUB#Variants
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"GRUB4DOS , URL: /wiki/GNU_GRUB#Variants
","Yes","Yes","Yes","Yes[b]","No","Yes[b]","Yes[b]","Yes[b]","?","?","?","?","?","?","?"
"Gujin","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"systemd-boot / Gummiboot , URL: /wiki/Gummiboot_(software)
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"iBoot , URL: /wiki/IBoot
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"LILO , URL: /wiki/LILO_(boot_loader)
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Limine","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"FreeBSD , URL: /wiki/FreeBSD
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"loadlin , URL: /wiki/Loadlin
","Yes[c]","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"LOLO","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"MasterBooter","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Multiple Boot Manager","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"NTLDR , URL: /wiki/NTLDR
","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"OpenCore","Yes","?","?","?","?","?","?","?","?","Yes","?","?","?","?","?"
"OSL2000 Boot Manager","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"PLoP Boot Manager","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"RedBoot , URL: /wiki/RedBoot
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","Yes"
"rEFInd , URL: /wiki/REFInd
","Partial[d]","Yes[d]","Yes[d]","?","?","?","?","?","?","Yes[d]","?","?","?","?","?"
"rEFIt , URL: /wiki/REFIt
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Smart Boot Manager","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"SPFdisk","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Syslinux , URL: /wiki/Syslinux
","Yes","Yes","Partial[e]","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No"
"Tianocore EDK II","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Windows Boot Manager , URL: /wiki/Windows_Boot_Manager
","Yes","No","No","No","No","No","No","No","?","No","No","No","No","No","No"
"XOSL , URL: /wiki/XOSL
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"yaboot , URL: /wiki/Yaboot
","?","Yes","Yes","?","?","?","?","?","?","?","?","?","?","?","?"
