"File manager","Filesystem support","Attribute columns","File previews","Metadata indexing","Unicode support","Visual themes"
"Altap Salamander , URL: /wiki/Altap_Salamander
","Yes","Yes","Yes","?","Partial","No"
"Commander One , URL: /wiki/Commander_One
","Yes","Yes","Yes","?","Yes","Yes"
"Directory Opus , URL: /wiki/Directory_Opus
","Yes","Yes","Yes","Partial","Yes","Yes"
"Dired , URL: /wiki/Dired
","Yes","Yes","Yes","No","Yes","Yes"
"Dolphin , URL: /wiki/Dolphin_(file_manager)
","Yes","No","Yes","Yes","Yes","Yes"
"Double Commander , URL: /wiki/Double_Commander
","Yes","Yes","Yes","No","Yes[e 1]","Partial[e 2]"
"emelFM2 , URL: /wiki/EmelFM2
","?","?","?","?","","?"
"Far Manager , URL: /wiki/Far_Manager
","Yes","Yes","Yes","Partial","Yes[e 3]","No"
"Files (Apple) , URL: /wiki/Files_(Apple)
","","","Yes","","Yes",""
"Files by Google , URL: /wiki/Files_by_Google
","","","","","",""
"Finder , URL: /wiki/Macintosh_Finder
","Yes","No","Yes","Yes","Yes[e 4]","Partial[e 5]"
"ForkLift , URL: /wiki/ForkLift_(File_Manager)
","Yes","Yes","Yes","No","Yes","Yes"
"Konqueror , URL: /wiki/Konqueror
","Yes","No","Yes","Yes","Yes","Yes"
"Krusader , URL: /wiki/Krusader
","Yes","No","Yes","Partial","","Yes"
"Midnight Commander , URL: /wiki/Midnight_Commander
","Yes","No","No","No","Yes","No"
"GNOME Files (Nautilus) , URL: /wiki/GNOME_Files
","Yes","?","Yes","?","Yes","Yes"
"Nemo , URL: /wiki/Nemo_(file_manager)
","Yes","?","Yes","Yes","Yes","Yes"
"Nomad.NET , URL: /wiki/Nomad.NET
","Yes","Yes","Yes","?","Yes","Yes"
"Path Finder , URL: /wiki/Path_Finder
","?","?","?","?","","?"
"PCManFM , URL: /wiki/PCMan_File_Manager
","Yes","Yes","Yes","No","Yes","No"
"ROX-Filer , URL: /wiki/ROX-Filer
","","No","Yes","No","","?"
"Total Commander , URL: /wiki/Total_Commander
","Yes","Yes","Yes","Yes In search tool","Yes[e 1]","Yes[e 6]"
"Windows Explorer , URL: /wiki/Windows_Explorer
","Yes","Yes","Yes","Yes[99]","Yes","Partial[e 5]"
"Xandros File Manager , URL: /wiki/Xandros_File_Manager
","?","?","?","?","?","?"
"Xfe , URL: /wiki/Xfe
","No","Partial","No","No","Partial","Partial[e 7]"
"Xfile , URL: /wiki/Xfile
","?","?","?","?","?","?"
"Xfm , URL: /wiki/Xfm_(file_manager)
","?","?","?","?","?","?"
"xplorer² , URL: /wiki/Xplorer%C2%B2
","Yes","Yes","Yes","?","Yes","Yes"
"XYplorer , URL: /wiki/XYplorer
","Yes","Yes","Yes","?","Yes","Yes"
"ZTreeWin , URL: /wiki/ZTreeWin
","Yes","Yes","Yes","?","Yes","No"
"File manager","Filesystem support","Attribute columns","File previews","Metadata indexing","Unicode support","Visual themes"
